decision,appno,siteAdd,appType,proposal,applicant
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5269/T,"St. Dominic's Primary School
Southampton Road
London
NW5 4JS ",Notification of Intended Works to Tree(s) in a Conservation Area ,REAR GROUNDS: 2 x London Planes (T1 & T2) - Reduce all growth overhanging 2 Mall Studios by up to 2m. ,Mary Fellowes 
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5270/T,"21 Grove Terrace
London
NW5 1PH ",Notification of Intended Works to Tree(s) in a Conservation Area ,FRONT GARDEN: 1 x Magnolia Soulangea (T1) - Reduce overall crown by up to 1.5m branch lengths. All pruning cuts within previous most recent reduction framework. Remove any defective branch wood. ,Astrid Sharkey 
"Approve Works (TPO) 
				03-01-2025",2024/5278/T,"1 Patshull Place
London
NW5 2LA ",Application for Works to Tree(s) covered by a TPO ,"(TPO REF: C1234 2020) REAR GARDEN: 1 x Sycamore (T1) - Reduce crown to previous points, 2m - 3m. ",Mrs. Alison Cable 
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5293/T,"7 Frognal Way
London
NW3 6XE ",Notification of Intended Works to Tree(s) in a Conservation Area ,"REAR GARDEN: 1 x Goat Willow (T2) - Reduce lateral and vertical growth by 1m - 2m approx. 
1 x Sycamore (T4) - Prune to give 3m clearance above ground level.
1 x Cotoneaster & 1 x Pyracantha (G5) - Prune lateral growth to clear by 1m - 1.5m approx.

 ",Mr. Neil Norris 
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5307/T,"1 Frognal Lane
London
NW3 7DY ",Notification of Intended Works to Tree(s) in a Conservation Area ,FRONT GARDEN: 1 x Lime (T1)- Re-pollard back to previous pruning points. ,. 
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5310/T,"Sun House
9 Frognal Way
London
NW3 6XE ",Notification of Intended Works to Tree(s) in a Conservation Area ,"REAR GARDEN: 1 x Yew (T1) - Reduce overhang to number 7 by 1m - 2m approx. Shape to balance.
1 x Yew (T3) - Reduce overhang to number 7 by 1m - 2m approx. Shape to balance.


 ",Mr. Neil Norris 
"Granted 
				03-01-2025",2024/5098/P,"17 Lyndhurst Gardens
London
Camden
NW3 5NU ",Non-Material Amendments ,"Amendments (change to description of development) to planning permission 2019/6151/P granted 29/09/2021 for the Change of use from Class D1 use (non-residential institution) to Class C3 Use (residential) as 1 x 5 bedroom unit, 1 x 5 bedroom unit and 1 x 4 bedroom unit, internal alterations, external alterations including a new glass link element and lowering of basement level, hard and soft landscaping including the removal of 10 trees, a summer house with internal cycling parking, a bin store, a cycle store and other associated works. ",Jaga Developments (London) Ltd 
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5330/T,"47 Roderick Road
London
NW3 2NP ",Notification of Intended Works to Tree(s) in a Conservation Area ,"REAR GARDEN: 1 x Bay (T1) - Reduce crown height by approx. 40%, 3m. Reduce lateral and sub lateral growth to as near to boundary, up to 1m. Reduce lateral and sub lateral growth overhanging No.47 up to 1m to shape and balance.  ",Evgeny Stott 
"No Objection to Works to Tree(s) in CA 
				03-01-2025",2024/5256/T,"27 Lyndhurst Road
London
NW3 5PB ",Notification of Intended Works to Tree(s) in a Conservation Area ,"REAR GARDEN: 1 x Prunus (T1) - Prune back any branches overhanging neighbouring to boundary line 0.75m.
1 x Cherry (Prunus) (T2) - Reduce length of long overhanging branches suitable union close to boundary line 1m.
1 x Cherry (Prunus) (T3) - Prune back branch growth back to close to boundary line 1m.
 ",Palmer 
"Granted 
				03-01-2025",2024/5499/P,"Camden Goods Yard
Chalk Farm Road
London
NW1 8EH ",Approval of Details ,Resubmission of partial details of 'building details' for condition 26 for Block A of planning permission  2022/3646/P dated 29/03/2023 (for variation to original permission 2017/3847/P dated 15/06/2018 for redevelopment of the petrol filling station site and main supermarket site). ,Mr Emmanouil Magkaris 
