datePub,doctype,desc,view,key
,,,,
,,,,
15 Nov 2024,Plans,BLOCK PLAN,/online-applications/files/2365F06F524A78208E260377B355C02E/pdf/24_03579_LDCP-BLOCK_PLAN-3297802.pdf,SMZWXBBOJR900
15 Nov 2024,Plans,EXISTING PLANS,/online-applications/files/38C70DDB1FE77833E56D7785BD05BB7C/pdf/24_03579_LDCP-EXISTING_PLANS-3297800.pdf,SMZWXBBOJR900
15 Nov 2024,Plans,THE LOCATION PLAN,/online-applications/files/FEA4DEE62740DB44F0277A554D288DC1/pdf/24_03579_LDCP-THE_LOCATION_PLAN-3297801.pdf,SMZWXBBOJR900
15 Nov 2024,Plans,PROPOSED PLANS,/online-applications/files/6F1846C8216D8A3CB02A6A632DEBF872/pdf/24_03579_LDCP-PROPOSED_PLANS-3297803.pdf,SMZWXBBOJR900
15 Nov 2024,Application Form,APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/E911981E28032CD09819AC18D1D8840A/pdf/24_03579_LDCP-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-3297797.pdf,SMZWXBBOJR900
,,,,
03 Jan 2025,Decision Notice,"
",/online-applications/files/CCF8FE5FFE5375061986C5B183BC2641/pdf/24_03234_DET--3319303.pdf,SLG7DNBOHNO00
03 Jan 2025,Delegated Register,OFFICER'S REPORT,/online-applications/files/A17834750CDF8BBD6CB57E39959993F1/pdf/24_03234_DET-OFFICER_S_REPORT-3319194.pdf,SLG7DNBOHNO00
22 Oct 2024,Plans,CONSTRUCTION LOGISTICS PLAN,/online-applications/files/86006E94CF55BED48255D087022A37B7/pdf/24_03234_DET-CONSTRUCTION_LOGISTICS_PLAN-3286771.pdf,SLG7DNBOHNO00
16 Oct 2024,Application Form,APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/4EFA8CE417124DB61CC124C513564B2B/pdf/24_03234_DET-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-3284300.pdf,SLG7DNBOHNO00
16 Oct 2024,Plans,BLOCK PLAN,/online-applications/files/A62B1169BB88E33F705EB17C2B03A258/pdf/24_03234_DET-BLOCK_PLAN-3284303.pdf,SLG7DNBOHNO00
16 Oct 2024,Supporting Docs,BUILDING REGULATIONS COMPLIANCE REPORT,/online-applications/files/49552557FFBE7BACCDF34F2298BB2064/pdf/24_03234_DET-BUILDING_REGULATIONS_COMPLIANCE_REPORT-3284305.pdf,SLG7DNBOHNO00
16 Oct 2024,Supporting Docs,COVERING LETTER,/online-applications/files/7C1892EBA96044B207F4F6AC8B819FB0/pdf/24_03234_DET-COVERING_LETTER-3284306.pdf,SLG7DNBOHNO00
16 Oct 2024,Supporting Docs,ENERGY AND SUSTAINABILITY STATEMENT,/online-applications/files/52F63B75B71241660396C0230A1D21F1/pdf/24_03234_DET-ENERGY_AND_SUSTAINABILITY_STATEMENT-3284304.pdf,SLG7DNBOHNO00
