datePub,doctype,desc,view,key
,,,,
02 Jan 2025,Application Form,Tree and landscape comments,/online-applications/files/CCC0D19C73370DFA675299EEA2B06954/DC_24_138045-TREE_AND_LANDSCAPE_COMMENTS-1347789.docx,_LEWIS_DCAPR_125968
02 Jan 2025,Officer Report,Delegated report,/online-applications/files/18FA3F2E9609205A56AA8C015F1913E9/pdf/DC_24_138045-Delegated_Report-1347983.pdf,_LEWIS_DCAPR_125968
02 Jan 2025,Decision,Decision notice,/online-applications/files/CEF85F647840978D4E6F9208349BC022/pdf/DC_24_138045-Decision_Notice-1347984.pdf,_LEWIS_DCAPR_125968
07 Nov 2024,Photographs,Refuse and recycling storage area,/online-applications/files/7C016E3CC0AF51357CBE93EE7EEDBA18/pdf/DC_24_138045-REFUSE_AND_RECYCLING_STORAGE_AREA-1335129.pdf,_LEWIS_DCAPR_125968
07 Nov 2024,Case Copy Drawings,Conditions discharge plans,/online-applications/files/4FF40A7A921DF110B4C1A9D65E223B62/pdf/DC_24_138045-CONDITIONS_DISCHARGE_PLANS-1335132.pdf,_LEWIS_DCAPR_125968
07 Nov 2024,Application Form,Application form,/online-applications/files/631B137068DF63FDEA310AC6679F885D/pdf/DC_24_138045-APPLICATION_FORM-1335134.pdf,_LEWIS_DCAPR_125968
,,,,
02 Jan 2025,Officer Report,Delegated report,/online-applications/files/F1202D4B12247FF6B83BE02FE97CD1D6/pdf/DC_24_138001-Delegated_Report-1347918.pdf,_LEWIS_DCAPR_125924
07 Nov 2024,Case Copy Documents,Covering letter,/online-applications/files/6D9D4B286A1BB9403750F5C786F79BE2/pdf/DC_24_138045-COVERING_LETTER-1335649.pdf,_LEWIS_DCAPR_125968
02 Jan 2025,Decision,Decision notice,/online-applications/files/1D53B955375B6E1006D66075BCAB698B/pdf/DC_24_138001-Decision_Notice-1347919.pdf,_LEWIS_DCAPR_125924
07 Nov 2024,Case Copy Drawings,Horn detail,/online-applications/files/ED83D58357A74D7E82983E99B17FFBDD/pdf/DC_24_138001-HORN_DETAIL-1335369.pdf,_LEWIS_DCAPR_125924
07 Nov 2024,Case Copy Drawings,Proposed window drawings,/online-applications/files/CF811F3DEC67B4EBC57444EB9C0B178B/pdf/DC_24_138001-PROPOSED_WINDOW_DRAWINGS-1335370.pdf,_LEWIS_DCAPR_125924
04 Nov 2024,Case Copy Drawings,Proposed details (superseded first page),/online-applications/files/744E1C84014F7636EC6705434A24BEF9/pdf/DC_24_138001-PROPOSED_DETAILS__SUPERSEDED_FIRST_PAGE_-1334115.pdf,_LEWIS_DCAPR_125924
04 Nov 2024,Photographs,Photos of windows,/online-applications/files/01B907C6B17BDB18643EF050B725CB97/pdf/DC_24_138001-PHOTOS_OF_WINDOWS-1334116.pdf,_LEWIS_DCAPR_125924
04 Nov 2024,Case Copy Documents,Heritage statement,/online-applications/files/41638D92D369BD416BD5A7BF08247485/pdf/DC_24_138001-HERITAGE_STATEMENT-1334117.pdf,_LEWIS_DCAPR_125924
