datePub,doctype,desc,view,key
,,,,
03 Jan 2025,Decision,DELEGATED REPORT,/online-applications/files/650C2BC73A50BD7A54F1255A6819D46F/pdf/24_02525_CLP-DELEGATED_REPORT-3788105.pdf,SO7PTWJYJTM00
03 Jan 2025,Decision,DECISION NOTICE,/online-applications/files/2D41355ADAC998C291FF0EE55688AE09/pdf/24_02525_CLP-DECISION_NOTICE-3788106.pdf,SO7PTWJYJTM00
09 Dec 2024,Application Form (Public),APPLICATIONFORMREDACTED,/online-applications/files/026D859D3B3381907B91DDFFEC1F2D1D/pdf/24_02525_CLP-APPLICATIONFORMREDACTED-3781331.pdf,SO7PTWJYJTM00
09 Dec 2024,Drawing,01 EXISTING GROUND FLOOR PLAN,/online-applications/files/D346BDE98DDEE6FD7976E08E33D7DEEE/pdf/24_02525_CLP-01_EXISTING_GROUND_FLOOR_PLAN-3781334.pdf,SO7PTWJYJTM00
09 Dec 2024,Drawing,02 EXISTING FIRST FLOOR PLAN,/online-applications/files/C62D63B5EED27F5D6BFAAF23E7F20C32/pdf/24_02525_CLP-02_EXISTING_FIRST_FLOOR_PLAN-3781335.pdf,SO7PTWJYJTM00
09 Dec 2024,Drawing,03 PROPOSED GROUND FLOOR PLAN,/online-applications/files/35503875F723471D1BF1B20F621C1565/pdf/24_02525_CLP-03_PROPOSED_GROUND_FLOOR_PLAN-3781336.pdf,SO7PTWJYJTM00
09 Dec 2024,Drawing,04 PROPOSED FIRST FLOOR PLAN,/online-applications/files/61BB943A26981352BBFDE04DB5F98C6E/pdf/24_02525_CLP-04_PROPOSED_FIRST_FLOOR_PLAN-3781337.pdf,SO7PTWJYJTM00
,,,,
02 Jan 2025,Documentation,REPORT,/online-applications/files/495046D7823D518CC49E854D08C43A06/pdf/24_02491_NONMAT-REPORT-3788035.pdf,SNVOGGJYKIC00
02 Jan 2025,Decision,DECISION,/online-applications/files/608EA45D7AD1E9CC66E04A54F53C4AB8/pdf/24_02491_NONMAT-DECISION-3788036.pdf,SNVOGGJYKIC00
09 Dec 2024,Drawing,05 PROPOSED LOFT PLAN,/online-applications/files/B44F65FFD09424952B5F3991F46D07F9/pdf/24_02525_CLP-05_PROPOSED_LOFT_PLAN-3781338.pdf,SO7PTWJYJTM00
09 Dec 2024,Drawing,06 EXISTING ROOF PLAN,/online-applications/files/5002CA131E65A00DD088E288A8B27BAB/pdf/24_02525_CLP-06_EXISTING_ROOF_PLAN-3781339.pdf,SO7PTWJYJTM00
09 Dec 2024,Drawing,07 PROPOSED ROOF PLAN,/online-applications/files/8E812DBB043921942F39067ADE4688C9/pdf/24_02525_CLP-07_PROPOSED_ROOF_PLAN-3781340.pdf,SO7PTWJYJTM00
09 Dec 2024,Drawing,08 EXISTING ELEVATIONS,/online-applications/files/A22539AEA9D0BA1A4F4794F5289F45F4/pdf/24_02525_CLP-08_EXISTING_ELEVATIONS-3781341.pdf,SO7PTWJYJTM00
