datePub,doctype,desc,view,key
07 Jan 2025,Valid Application Letter,VALID APPLICATION LETTER WITH INVOICE,/online-applications/files/0EC34E06F67FF4AE392A7EF9F86EC287/pdf/25_AP_0024-VALID_APPLICATION_LETTER_WITH_INVOICE-3985821.pdf,SPOBTJKB0C900
07 Jan 2025,Decision - Notice,DECISION NOTICE - TCA/TPO - EXEMPT,/online-applications/files/929E3694C3F92E9EBECBABEA8DDDF627/pdf/25_AP_0024-DECISION_NOTICE_-_TCA_TPO_-_EXEMPT-3985825.pdf,SPOBTJKB0C900
07 Jan 2025,Decision - Officer Report,OFFICER ASSESSMENT,/online-applications/files/4521EFDE361CDA09F17C4ABB7801A9C4/pdf/25_AP_0024-OFFICER_ASSESSMENT-3985830.pdf,SPOBTJKB0C900
06 Jan 2025,Sketch plan,"
",/online-applications/files/0ADD95EF1ED21D7680EF99F937F334B4/25_AP_0024--3985563.jpg,SPOBTJKB0C900
06 Jan 2025,Application - Form (Without Personal data),"
",/online-applications/files/FFE6AD661E5049CFD79576E57ECD0F66/pdf/25_AP_0024--3985564.pdf,SPOBTJKB0C900
07 Jan 2025,Decision - Notice,DECISION NOTICE - TCA - GRANT,/online-applications/files/841DAE555A05123296440FB7CE5C4558/pdf/24_AP_3821-DECISION_NOTICE_-_TCA_-_GRANT-3985828.pdf,SP58C4KBGF500
07 Jan 2025,Decision - Officer Report,OFFICER ASSESSMENT,/online-applications/files/214626BFF78BA4F85B4B7F91D17B6616/pdf/24_AP_3821-OFFICER_ASSESSMENT-3985829.pdf,SP58C4KBGF500
02 Jan 2025,Valid Application Letter,VALID APPLICATION LETTER WITH INVOICE,/online-applications/files/2C93CC2AAAD8D6651B2F090E6805A9FD/pdf/24_AP_3821-VALID_APPLICATION_LETTER_WITH_INVOICE-3984423.pdf,SP58C4KBGF500
07 Jan 2025,Decision - Notice,DECISION NOTICE - TCA - GRANT,/online-applications/files/810B351F21A0A10807541BF1CC869E1B/pdf/24_AP_3813-DECISION_NOTICE_-_TCA_-_GRANT-3985826.pdf,SOZWNOKBGCS00
02 Jan 2025,Decision - Notice,DECISION NOTICE - TCA - GRANT,/online-applications/files/E7ED946FDF3E813219952976A987AD2A/pdf/24_AP_3738-DECISION_NOTICE_-_TCA_-_GRANT-3984425.pdf,SOP10ZKBG6600
