datePub,doctype,desc,view,key
03 Jan 2025,Decision Notice,"
",/online-applications/files/55B86533267960F0D8B76116005EC144/pdf/24_03999_PRH--3023147.pdf,SNM3JXJNLWI00
27 Nov 2024,Application Form - Without Personal Data,Application Form - Without Personal Data,/online-applications/files/72C6335522CED38516A642671F7584BF/pdf/24_03999_PRH-Application_Form_-_Without_Personal_Data-3007430.pdf,SNM3JXJNLWI00
27 Nov 2024,OS Extract,The location plan,/online-applications/files/E5BC39892E7204DA7A83BA2A3DE68FBA/pdf/24_03999_PRH-The_location_plan-3007433.pdf,SNM3JXJNLWI00
27 Nov 2024,Drawing,PROPOSED ELEVATIONS,/online-applications/files/33415182DB8984A97C5D16A9396B816E/pdf/24_03999_PRH-PROPOSED_ELEVATIONS-3007434.pdf,SNM3JXJNLWI00
02 Jan 2025,Decision Notice,"
",/online-applications/files/B35304A9336B627EF432DD91822E002F/pdf/24_03826_HOU--3022936.pdf,SMY534JNLCS00
02 Jan 2025,Officer Report,"
",/online-applications/files/AA562789A249D17365B240BC165F509F/pdf/24_03826_HOU--3023082.pdf,SMY534JNLCS00
27 Nov 2024,Drawing,EXISTING & PROPOSED ROOF PLANS,/online-applications/files/7C05286FEAFC18C8F6B6470B34732C13/pdf/24_03999_PRH-EXISTING___PROPOSED_ROOF_PLANS-3007435.pdf,SNM3JXJNLWI00
27 Nov 2024,Block plan,Block plan of the site,/online-applications/files/10927ACA7BF87AD51E54547AA89B227A/pdf/24_03999_PRH-Block_plan_of_the_site-3007436.pdf,SNM3JXJNLWI00
27 Nov 2024,Block plan,Block plan of the site,/online-applications/files/049A19576473C50DC05DA0EFFE30D7A6/pdf/24_03999_PRH-Block_plan_of_the_site-3007437.pdf,SNM3JXJNLWI00
27 Nov 2024,Drawing,EXISTING & PROPOSED FLOOR PLANS,/online-applications/files/5FDDE57F6C54FB5072B5495E18B70C46/pdf/24_03999_PRH-EXISTING___PROPOSED_FLOOR_PLANS-3007438.pdf,SNM3JXJNLWI00
14 Nov 2024,Application Form - Without Personal Data,Application Form - Without Personal Data,/online-applications/files/80AA9C2FFC85B6547D8E5528A6EED9C2/pdf/24_03826_HOU-Application_Form_-_Without_Personal_Data-3001456.pdf,SMY534JNLCS00
14 Nov 2024,Block plan,EXISTING BLOCK PLAN,/online-applications/files/D7BA798494032C8346FA85D202D462AE/pdf/24_03826_HOU-EXISTING_BLOCK_PLAN-3001459.pdf,SMY534JNLCS00
14 Nov 2024,Block plan,PROPOSED BLOCK PLAN,/online-applications/files/46BFEC8CD5FF317DCBD50567BB35F7FF/pdf/24_03826_HOU-PROPOSED_BLOCK_PLAN-3001460.pdf,SMY534JNLCS00
02 Jan 2025,Decision Notice,"
",/online-applications/files/B1A313049FF46FC7AB91E14F91BD8D34/pdf/24_03759_LBC--3023088.pdf,SMMJRYJNL3T00
02 Jan 2025,Officer Report,"
",/online-applications/files/99C43F8779ED2C57A2C29B4619AA673F/pdf/24_03759_LBC--3023102.pdf,SMMJRYJNL3T00
27 Nov 2024,Drawing,EXISTING ELEVATIONS,/online-applications/files/CAF3AE77CB2FC52C70F0BE6862796FEA/pdf/24_03999_PRH-EXISTING_ELEVATIONS-3007439.pdf,SNM3JXJNLWI00
14 Nov 2024,Drawing,EXISTING ELEVATIONS AND SECTION,/online-applications/files/24000C7B9496D535B62DF004C2950C0B/pdf/24_03826_HOU-EXISTING_ELEVATIONS_AND_SECTION-3001461.pdf,SMY534JNLCS00
14 Nov 2024,Drawing,EXISTING FLOOR PLANS,/online-applications/files/DD15243B67C2C6F49C9E654C8A4D6A15/pdf/24_03826_HOU-EXISTING_FLOOR_PLANS-3001462.pdf,SMY534JNLCS00
14 Nov 2024,Drawing,PROPOSED ELEVATIONS AND SECTION,/online-applications/files/44300EDE2CA2C14984776B88E419DD96/pdf/24_03826_HOU-PROPOSED_ELEVATIONS_AND_SECTION-3001463.pdf,SMY534JNLCS00
28 Nov 2024,Press Notice,PRESS NOTICE 27/11/2024,/online-applications/files/3D9D662ACB68D77CAFE5102892F942C1/pdf/24_03759_LBC-PRESS_NOTICE_27_11_2024-3008138.pdf,SMMJRYJNL3T00
08 Nov 2024,Application Form - Without Personal Data,Application Form - Without Personal Data,/online-applications/files/5D084543866B5084AF3A173D9EB10DA7/pdf/24_03759_LBC-Application_Form_-_Without_Personal_Data-2998506.pdf,SMMJRYJNL3T00
08 Nov 2024,Drawing,EXISTING & PROPOSED PLANS & SIGN DETAILS,/online-applications/files/4D4130A7F74F88D713BCE8C1478482F6/pdf/24_03759_LBC-EXISTING___PROPOSED_PLANS___SIGN_DETAILS-2998509.pdf,SMMJRYJNL3T00
03 Jan 2025,Decision Notice,"
",/online-applications/files/C521DCDC81166F1CD336C5ACCE6C98AB/pdf/24_03773_CEU--3023148.pdf,SMN1QOJNL5B00
03 Jan 2025,Officer Report,"
",/online-applications/files/498D99E50369B1D7DEA055F106B5D848/pdf/24_03773_CEU--3023152.pdf,SMN1QOJNL5B00
14 Nov 2024,Drawing,PROPOSED FLOOR PLANS,/online-applications/files/092BCE5C82D4CAF52A03E755C96E1D00/pdf/24_03826_HOU-PROPOSED_FLOOR_PLANS-3001464.pdf,SMY534JNLCS00
14 Nov 2024,OS Extract,The location plan,/online-applications/files/CD4A48439A6942DEA29328254E6C505F/pdf/24_03826_HOU-The_location_plan-3001465.pdf,SMY534JNLCS00
14 Nov 2024,CIL Documents,COMMUNITY INFRASTRUCTURE LEVY - COMPLETED FORM,/online-applications/files/31546A5528CECC81EF86062095E53E7E/pdf/24_03826_HOU-COMMUNITY_INFRASTRUCTURE_LEVY_-_COMPLETED_FORM-3001466.pdf,SMY534JNLCS00
08 Nov 2024,OS Extract,The location plan,/online-applications/files/771FC5A34D718E6DC9DEB2A87B3DC8B5/pdf/24_03759_LBC-The_location_plan-2998510.pdf,SMMJRYJNL3T00
08 Nov 2024,Heritage statement,"HERITAGE, DESIGN & ACCESS STATEMENT",/online-applications/files/17D7EDE4D0ECF19ED085860586CD49CE/pdf/24_03759_LBC-HERITAGE__DESIGN___ACCESS_STATEMENT-2998512.pdf,SMMJRYJNL3T00
24 Dec 2024,Supporting information,INVOICE PAYMENT OF WORKS,/online-applications/files/45E9F667F68862F103025517D78247CC/pdf/24_03773_CEU-INVOICE_PAYMENT_OF_WORKS-3022419.pdf,SMN1QOJNL5B00
08 Nov 2024,Application Form - Without Personal Data,Application Form - Without Personal Data,/online-applications/files/0DC204790C5E17F3ADED67BB3C218B07/pdf/24_03773_CEU-Application_Form_-_Without_Personal_Data-2998966.pdf,SMN1QOJNL5B00
08 Nov 2024,OS Extract,The location plan,/online-applications/files/E3BFD1861038A77190DAF248A314D2DA/pdf/24_03773_CEU-The_location_plan-2998969.pdf,SMN1QOJNL5B00
03 Jan 2025,Decision Notice,"
",/online-applications/files/FE1816DDF6F132867FBD88638D326FB7/pdf/24_03755_CEU--3023400.pdf,SML7S8JNL3D00
11 Nov 2024,Drawing,Existing floor plans & elevations,/online-applications/files/7CCCA5F7EA74BF770642832A7F44AC3D/pdf/24_03755_CEU-Existing_floor_plans___elevations-2999620.pdf,SML7S8JNL3D00
08 Nov 2024,Other,Site Location GeoJson,/online-applications/files/4FC27FB9B1E7F4C6FCA47FF853718054/24_03773_CEU-Site_Location_GeoJson-2998970.a,SMN1QOJNL5B00
08 Nov 2024,LDC supporting information,LDC supporting information,/online-applications/files/7C45DE048E28BE3DC3056BF7AD068D2E/pdf/24_03773_CEU-LDC_supporting_information-2998971.pdf,SMN1QOJNL5B00
08 Nov 2024,Block plan,Block plan of the site,/online-applications/files/E8617E02322E897BE1701DDF831F81BC/pdf/24_03773_CEU-Block_plan_of_the_site-2998972.pdf,SMN1QOJNL5B00
07 Nov 2024,Application Form - Without Personal Data,Application Form - Without Personal Data,/online-applications/files/A676058155E231239D40DF90EF7BB450/pdf/24_03755_CEU-Application_Form_-_Without_Personal_Data-2998315.pdf,SML7S8JNL3D00
07 Nov 2024,OS Extract,The location plan,/online-applications/files/20CB182618415D7420566B585CAFFD10/pdf/24_03755_CEU-The_location_plan-2998318.pdf,SML7S8JNL3D00
07 Nov 2024,Block plan,Block plan of the site,/online-applications/files/699611EE43E6D6D2333AAC00FABF9746/pdf/24_03755_CEU-Block_plan_of_the_site-2998319.pdf,SML7S8JNL3D00
02 Jan 2025,Decision Notice,"
",/online-applications/files/70BE07CED2305879EB58E787B6341F07/pdf/24_03742_ADV--3023086.pdf,SMKT4CJNL1W00
02 Jan 2025,Officer Report,"
",/online-applications/files/C33327F0E1BAF404D71CEAA4DE881567/pdf/24_03742_ADV--3023103.pdf,SMKT4CJNL1W00
07 Nov 2024,LDC supporting information,LDC supporting information,/online-applications/files/D32D0A9D078B1DCF76A26EE3B886F56E/pdf/24_03755_CEU-LDC_supporting_information-2998320.pdf,SML7S8JNL3D00
28 Nov 2024,Press Notice,PRESS NOTICE 27/11/2024,/online-applications/files/7AF9F4E19DE52D4AFFB2AB1DB176934E/pdf/24_03742_ADV-PRESS_NOTICE_27_11_2024-3008135.pdf,SMKT4CJNL1W00
07 Nov 2024,Application Form - Without Personal Data,Application Form - Without Personal Data,/online-applications/files/916CB20E599208A6158B0A1D99FA40ED/pdf/24_03742_ADV-Application_Form_-_Without_Personal_Data-2997818.pdf,SMKT4CJNL1W00
07 Nov 2024,Drawing,EXISTING & PROPOSED PLANS & SIGNAGE DETAILS,/online-applications/files/E2E55685D67072009397E2D60DAF0F3E/pdf/24_03742_ADV-EXISTING___PROPOSED_PLANS___SIGNAGE_DETAILS-2997821.pdf,SMKT4CJNL1W00
07 Nov 2024,OS Extract,The location plan,/online-applications/files/22A606B947C14F22B167369102C18411/pdf/24_03742_ADV-The_location_plan-2997822.pdf,SMKT4CJNL1W00
