datePub,doctype,desc,view,key
21 Mar 2025,Decision Notice,DN: EXEMPT CA PRUNE,/online-applications/files/543BBE11969FEC7BCD19E6C8C33B8600/pdf/TCP_0133_25-DN__EXEMPT_CA_PRUNE-6460762.pdf,STFG8HJI0JT00
20 Mar 2025,Correspondence,5 DAY NOTICE,/online-applications/files/514EB680A06D0E09FD48819771A6970B/pdf/TCP_0133_25-5_DAY_NOTICE-6460107.pdf,STFG8HJI0JT00
20 Mar 2025,Photo,TREE PHOTO,/online-applications/files/CA2438557FBA61745BDD309E7F500EAB/TCP_0133_25-TREE_PHOTO-6460109.jpeg,STFG8HJI0JT00
20 Mar 2025,Correspondence,HGST LETTER,/online-applications/files/6E772F2FE8083F515FFBA993610AA3F0/pdf/TCP_0133_25-HGST_LETTER-6460110.pdf,STFG8HJI0JT00
20 Mar 2025,Decision Notice,DN: LAWFUL 192,/online-applications/files/53369C42FB135C7BBEC5274F6775A410/pdf/25_1168_192-DN__LAWFUL_192-6459874.pdf,STC7Q5JIFI500
18 Mar 2025,Application Form,APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/834F15D6DBBA3ABFAC1D3711FF81786F/pdf/25_1168_192-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-6457543.pdf,STC7Q5JIFI500
18 Mar 2025,Drawing,EXISTING/PROPOSED,/online-applications/files/A22DF1DDC29AFC0A6F6B9B0FB5AD43D8/pdf/25_1168_192-EXISTING_PROPOSED-6457546.pdf,STC7Q5JIFI500
20 Mar 2025,Decision Notice,DN: LAWFUL 192,/online-applications/files/8BE279C56E2EC5420B7C5092B4043956/pdf/25_1117_192-DN__LAWFUL_192-6459566.pdf,ST9LA5JIN2W00
17 Mar 2025,Application Form,APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/3D9D5D2F3071274B51BDB7F15B092A30/pdf/25_1117_192-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-6454404.pdf,ST9LA5JIN2W00
17 Mar 2025,Drawing,EXISTING FLOOR PLANS,/online-applications/files/CA53DAD715D063AC167060B39F1B95B9/pdf/25_1117_192-EXISTING_FLOOR_PLANS-6454407.pdf,ST9LA5JIN2W00
17 Mar 2025,Drawing,EXISTING FRONT/REAR,/online-applications/files/8D96572D7D5A6D232A96C20AE9D9F178/pdf/25_1117_192-EXISTING_FRONT_REAR-6454408.pdf,ST9LA5JIN2W00
17 Mar 2025,Drawing,EXISTING SIDE,/online-applications/files/9228429C140E9208FF2CD0ABAC1F570F/pdf/25_1117_192-EXISTING_SIDE-6454410.pdf,ST9LA5JIN2W00
17 Mar 2025,Drawing,PROPOSED FLOOR PLANS,/online-applications/files/829963EAE933B1F9E7BCB1AA28AE2167/pdf/25_1117_192-PROPOSED_FLOOR_PLANS-6454411.pdf,ST9LA5JIN2W00
17 Mar 2025,Drawing,PROPOSED FRONT/REAR,/online-applications/files/EF1A0F72720FD069ADC17293E701EAFB/pdf/25_1117_192-PROPOSED_FRONT_REAR-6454412.pdf,ST9LA5JIN2W00
17 Mar 2025,Drawing,PROPOSED SIDE,/online-applications/files/4B92D79A15A1256E327D1452A5D8B425/pdf/25_1117_192-PROPOSED_SIDE-6454414.pdf,ST9LA5JIN2W00
17 Mar 2025,Site Location Plan,THE LOCATION PLAN,/online-applications/files/7812D543018B7BACB823735DCE7C0F04/pdf/25_1117_192-THE_LOCATION_PLAN-6454415.pdf,ST9LA5JIN2W00
17 Mar 2025,Block plan,BLOCK PLAN,/online-applications/files/7044BE7CDED6A2B20864385CD1BEC830/pdf/25_1117_192-BLOCK_PLAN-6454416.pdf,ST9LA5JIN2W00
17 Mar 2025,Design and Access Statement,DESIGN AND ACCESS STATEMENT,/online-applications/files/0A8061508939C2B587C411D393260F00/pdf/25_1117_192-DESIGN_AND_ACCESS_STATEMENT-6455969.pdf,ST9LA5JIN2W00
17 Mar 2025,CIL Document,COMMUNITY INFRASTRUCTURE LEVY - COMPLETED FORM,/online-applications/files/D0959CC85ECBE99BDD55F8A46985CFB7/pdf/25_1117_192-COMMUNITY_INFRASTRUCTURE_LEVY_-_COMPLETED_FORM-6454419.pdf,ST9LA5JIN2W00
17 Mar 2025,Site Location Plan,LOCATION PLAN,/online-applications/files/D01402FE36C5A4F294751CE951DA9E2C/pdf/25_1117_192-LOCATION_PLAN-6454420.pdf,ST9LA5JIN2W00
18 Mar 2025,Decision Notice,DN: APPROVE CONDITION DETAILS,/online-applications/files/CA81F15623401A8DC60CC22DFA32238B/pdf/25_0980_CON-DN__APPROVE_CONDITION_DETAILS-6455987.pdf,SSRAWOJIMIL00
07 Mar 2025,Application Form,APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/9F93DE78598934B4E908E2001635A138/pdf/25_0980_CON-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-6445893.pdf,SSRAWOJIMIL00
07 Mar 2025,Application Document,SCHEDULE OF MATERIALS,/online-applications/files/086C6D564FDF20D993097AC476A2BEA2/pdf/25_0980_CON-SCHEDULE_OF_MATERIALS-6445896.pdf,SSRAWOJIMIL00
20 Mar 2025,Decision Notice,DN: LAWFUL 192,/online-applications/files/BE1D5F025DCA98CFCBF8EF1C5263C965/pdf/25_0805_192-DN__LAWFUL_192-6459588.pdf,SSAHCXJILYI00
26 Feb 2025,Application Form,APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/A74A3418E1FDB447E17DD849BD1B025A/pdf/25_0805_192-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-6436564.pdf,SSAHCXJILYI00
26 Feb 2025,Site Location Plan,THE LOCATION PLAN,/online-applications/files/4622D8E830626F334790555470313AA8/pdf/25_0805_192-THE_LOCATION_PLAN-6436567.pdf,SSAHCXJILYI00
26 Feb 2025,Drawing,PROPOSED GROUND FLOOR,/online-applications/files/58528BF6AC3A6AF223889D0CFAEEF72D/pdf/25_0805_192-PROPOSED_GROUND_FLOOR-6436568.pdf,SSAHCXJILYI00
26 Feb 2025,Drawing,PROPOSED FIRST FLOOR,/online-applications/files/BC7AEC02E42AE263D8654E8C4BB610E5/pdf/25_0805_192-PROPOSED_FIRST_FLOOR-6436569.pdf,SSAHCXJILYI00
26 Feb 2025,Drawing,PROPOSED LOFT,/online-applications/files/55A44854B4DD4CB2EA95B01B70437D3F/pdf/25_0805_192-PROPOSED_LOFT-6436570.pdf,SSAHCXJILYI00
26 Feb 2025,Drawing,EXISTING ELEVATIONS,/online-applications/files/5F6150D292C4290CE0B33B8E6058CC40/pdf/25_0805_192-EXISTING_ELEVATIONS-6436571.pdf,SSAHCXJILYI00
