datePub,doctype,desc,view,key
02 Jan 2025,Decision - Notice,DECISION NOTICE - TCA - GRANT,/online-applications/files/E7ED946FDF3E813219952976A987AD2A/pdf/24_AP_3738-DECISION_NOTICE_-_TCA_-_GRANT-3984425.pdf,SOP10ZKBG6600
02 Jan 2025,Decision - Officer Report,OFFICER ASSESSMENT,/online-applications/files/7A0986DB1304B47945C5A9E0520F2B00/pdf/24_AP_3738-OFFICER_ASSESSMENT-3984428.pdf,SOP10ZKBG6600
31 Dec 2024,Valid Application Letter,VALID APPLICATION LETTER WITH INVOICE,/online-applications/files/0510A525E740E8214E31A37F2B445727/pdf/24_AP_3738-VALID_APPLICATION_LETTER_WITH_INVOICE-3983840.pdf,SOP10ZKBG6600
18 Dec 2024,Application - Form (Without Personal data),APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/824E79171D5BA93ABBEA216720D3ABAC/pdf/24_AP_3738-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-3978612.pdf,SOP10ZKBG6600
18 Dec 2024,Sketch plan,SKETCH PLAN,/online-applications/files/9AB4966FD3F093230C786D8DBBDC52BF/pdf/24_AP_3738-SKETCH_PLAN-3978615.pdf,SOP10ZKBG6600
18 Dec 2024,Photographs and photomontages,PHOTOGRAPHS AND PHOTOMONTAGES,/online-applications/files/7218307824FEE596D0A9D999BAC4CD8F/pdf/24_AP_3738-PHOTOGRAPHS_AND_PHOTOMONTAGES-3980753.pdf,SOP10ZKBG6600
03 Jan 2025,Decision - Notice,DECISION NOTICE - TPO - GRANT,/online-applications/files/C94B8E7A9528D737935339E7B11881D4/pdf/24_AP_3602-DECISION_NOTICE_-_TPO_-_GRANT-3984531.pdf,SO7WDIKBFSX00
03 Jan 2025,Decision - Officer Report,OFFICER ASSESSMENT,/online-applications/files/22442DD81E58DEDF7C5B3CCCC9B46E41/pdf/24_AP_3602-OFFICER_ASSESSMENT-3984541.pdf,SO7WDIKBFSX00
15 Dec 2024,Valid Application Letter,VALID APPLICATION LETTER WITH INVOICE,/online-applications/files/C30DDBE0FC775AD0897BC61B62231FD4/pdf/24_AP_3602-VALID_APPLICATION_LETTER_WITH_INVOICE-3975708.pdf,SO7WDIKBFSX00
09 Dec 2024,Application - Form (Without Personal data),APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/E0899A568774DE19DACED8EBEB7E5BB9/pdf/24_AP_3602-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-3970076.pdf,SO7WDIKBFSX00
09 Dec 2024,Photographs and photomontages,PHOTOGRAPHS AND PHOTOMONTAGES,/online-applications/files/27C4B40B6F4F0BD8C78AEDF46142B08F/pdf/24_AP_3602-PHOTOGRAPHS_AND_PHOTOMONTAGES-3970080.pdf,SO7WDIKBFSX00
09 Dec 2024,Tree survey or Arboricultural implications,TREE SURVEY,/online-applications/files/4488A07A330A0B41EC14292AF7983F71/pdf/24_AP_3602-TREE_SURVEY-3972401.pdf,SO7WDIKBFSX00
02 Jan 2025,Decision - Notice,DECISION NOTICE - VNMC - AGREE,/online-applications/files/9D8D4211B6057C4957ADFD37F1934A84/pdf/24_AP_3534-DECISION_NOTICE_-_VNMC_-_AGREE-3984124.pdf,SNVBK0KBFK300
02 Jan 2025,Decision - Officer Report,OFFICER ASSESSMENT,/online-applications/files/A529C53D5897577DB1845370A893B937/pdf/24_AP_3534-OFFICER_ASSESSMENT-3984133.pdf,SNVBK0KBFK300
12 Dec 2024,Valid Application Letter,VALID APPLICATION LETTER WITH INVOICE,/online-applications/files/7AE37346D762957265B8E6333924B6B0/pdf/24_AP_3534-VALID_APPLICATION_LETTER_WITH_INVOICE-3973318.pdf,SNVBK0KBFK300
11 Dec 2024,Decision - Plans,PROPOSED SECTION LOOKING NORTH,/online-applications/files/9B14AF21C229B0C5083C708F8D688702/pdf/24_AP_3534-PROPOSED_SECTION_LOOKING_NORTH-3972291.pdf,SNVBK0KBFK300
11 Dec 2024,Decision - Plans,PROPOSED SECTION LOOKING SOUTH,/online-applications/files/33C425B3005E73624D8F12484FDC69E9/pdf/24_AP_3534-PROPOSED_SECTION_LOOKING_SOUTH-3972293.pdf,SNVBK0KBFK300
02 Dec 2024,Application - Form (Without Personal data),APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/5B23265FD15CDA1DA4F7DA4FE002D570/pdf/24_AP_3534-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-3964885.pdf,SNVBK0KBFK300
02 Dec 2024,Decision - Plans,PROPOSED LOWER GROUND FLOOR PLAN,/online-applications/files/4A7E81C5009BFA1E5B2DE02A533E8584/pdf/24_AP_3534-PROPOSED_LOWER_GROUND_FLOOR_PLAN-3964888.pdf,SNVBK0KBFK300
02 Dec 2024,Decision - Plans,PROPOSED GROUND FLOOR PLAN,/online-applications/files/CC8A347BA98B1560C6560AE7A4334F1F/pdf/24_AP_3534-PROPOSED_GROUND_FLOOR_PLAN-3964889.pdf,SNVBK0KBFK300
02 Jan 2025,Decision - Notice,DECISION NOTICE - CLP - GRANT,/online-applications/files/2F6F7FDE2DC844876FA409B00B72F65F/pdf/24_AP_3519-DECISION_NOTICE_-_CLP_-_GRANT-3984125.pdf,SNPDOZKBFI100
02 Dec 2024,Plan - General,[APPROVED PLAN] PROPOSED LOWER GROUND FLOOR PLAN,/online-applications/files/FEB15A49B17C4BBE01683D12264624A6/pdf/24_AP_3534-_APPROVED_PLAN__PROPOSED_LOWER_GROUND_FLOOR_PLAN-3965906.pdf,SNVBK0KBFK300
02 Dec 2024,Plan - General,[APPROVED PLAN] PROPOSED GROUND FLOOR PLAN,/online-applications/files/C92210E01EE537069B699490F48B8DEA/pdf/24_AP_3534-_APPROVED_PLAN__PROPOSED_GROUND_FLOOR_PLAN-3965907.pdf,SNVBK0KBFK300
02 Jan 2025,Decision - Officer Report,OFFICER ASSESSMENT,/online-applications/files/4E9C202FE2D0C6330D124F30FDB5A3EA/pdf/24_AP_3519-OFFICER_ASSESSMENT-3984132.pdf,SNPDOZKBFI100
09 Dec 2024,Valid Application Letter,VALID APPLICATION LETTER WITH INVOICE,/online-applications/files/75326FB2543141EFB9F46BBFA7367C4D/pdf/24_AP_3519-VALID_APPLICATION_LETTER_WITH_INVOICE-3970285.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Existing,EXISTING ELEVATIONS,/online-applications/files/4301622C939A6112FDBA11F272B03502/pdf/24_AP_3519-EXISTING_ELEVATIONS-3967682.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Existing,EXISTING FIRST FLOOR PLAN,/online-applications/files/4178469B8D241B5764DBAF6625966734/pdf/24_AP_3519-EXISTING_FIRST_FLOOR_PLAN-3967683.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Existing,EXISTING GROUND FLOOR PLAN,/online-applications/files/49CAE8EF4DBB487F8B7E50E5AF805FFC/pdf/24_AP_3519-EXISTING_GROUND_FLOOR_PLAN-3967684.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Existing,EXISTING LOFT FLOOR PLAN,/online-applications/files/B46DFF7D6AC531654F76C0E73D621F5D/pdf/24_AP_3519-EXISTING_LOFT_FLOOR_PLAN-3967685.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Existing,EXISTING ROOF PLAN,/online-applications/files/F7E017FB93117F707E18F0ABE4E59D58/pdf/24_AP_3519-EXISTING_ROOF_PLAN-3967686.pdf,SNPDOZKBFI100
03 Jan 2025,Decision - Notice,WITHDRAWN - DISCHARGE OF S106 OB,/online-applications/files/D8314CCA6DA63C2743AF4AD0D8846692/pdf/24_AP_3369-WITHDRAWN_-_DISCHARGE_OF_S106_OB-3984699.pdf,SMZU3LKB0C900
21 Nov 2024,Valid Application Letter,VALID APPLICATION LETTER WITH INVOICE,/online-applications/files/B4AC7B013083B593BB2FF76179845244/pdf/24_AP_3369-VALID_APPLICATION_LETTER_WITH_INVOICE-3959010.pdf,SMZU3LKB0C900
05 Dec 2024,Plan - Existing,EXISTING SECTION AA,/online-applications/files/6C31F4360A32791CD65682B505F39C46/pdf/24_AP_3519-EXISTING_SECTION_AA-3967687.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Proposed,PROPOSED ELEVATIONS,/online-applications/files/8E99E3E9850C10F8E1E4FD654752056B/pdf/24_AP_3519-PROPOSED_ELEVATIONS-3967688.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Proposed,PROPOSED LOFT FLOOR PLAN,/online-applications/files/9D2E7709A1CAAFBDF990668DC7FD1D76/pdf/24_AP_3519-PROPOSED_LOFT_FLOOR_PLAN-3967689.pdf,SNPDOZKBFI100
05 Dec 2024,Plan - Proposed,PROPOSED ROOF PLAN,/online-applications/files/765CEE831BC0DEBD26BEBDAF44DBB28D/pdf/24_AP_3519-PROPOSED_ROOF_PLAN-3967690.pdf,SNPDOZKBFI100
15 Nov 2024,Document,CAR PARK MANAGEMENT PLAN,/online-applications/files/5B1DBD5B0F2C19DF8CBC17C2054B9FC4/pdf/24_AP_3369-CAR_PARK_MANAGEMENT_PLAN-3956302.pdf,SMZU3LKB0C900
15 Nov 2024,Application - Form (Without Personal data),"
",/online-applications/files/58B526E0A66F73D18068F08D5FEDE69F/pdf/24_AP_3369--3956303.pdf,SMZU3LKB0C900
15 Nov 2024,Application - Covering letter,"
",/online-applications/files/3903A89441D4FCD179D08E27C6CDB6C9/pdf/24_AP_3369--3956304.pdf,SMZU3LKB0C900
05 Dec 2024,Plan - Proposed,PROPOSED SECTION AA,/online-applications/files/812146C0ADB28F2A19A4A63CEAED1277/pdf/24_AP_3519-PROPOSED_SECTION_AA-3967691.pdf,SNPDOZKBFI100
29 Nov 2024,Application - Form (Without Personal data),APPLICATION FORM - WITHOUT PERSONAL DATA,/online-applications/files/22E8CC3BB104A3F34D83FAEF6D2506EF/pdf/24_AP_3519-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-3963722.pdf,SNPDOZKBFI100
29 Nov 2024,Site - Block plan,LOCATION & BLOCK PLAN,/online-applications/files/231F929F1E4C10169EDB71ADDC04183A/pdf/24_AP_3519-LOCATION___BLOCK_PLAN-3963725.pdf,SNPDOZKBFI100
29 Nov 2024,Site - Location plan,LOCATION & BLOCK PLAN,/online-applications/files/585F65A3BB94D5658FF3DAB8CBFE2E3F/pdf/24_AP_3519-LOCATION___BLOCK_PLAN-3963726.pdf,SNPDOZKBFI100
02 Jan 2025,Decision - Notice,DECISION NOTICE - S106N - AGREE,/online-applications/files/9D3B193257CEAAD44D8C600D787459DB/pdf/24_AP_3340-DECISION_NOTICE_-_S106N_-_AGREE-3984329.pdf,SMUHRYKB00Q00
02 Jan 2025,Decision - Officer Report,OFFICER ASSESSMENT,/online-applications/files/55B115C4EB3D323E32385FD35F132E82/pdf/24_AP_3340-OFFICER_ASSESSMENT-3984341.pdf,SMUHRYKB00Q00
18 Nov 2024,Document,20AP0433-UNILATERAL UNDERTAKING ANNOTATED SCHEDULE 10 CLAUSE 4,/online-applications/files/0E817E9BE2CD669A5A18F343C5BE7C34/pdf/24_AP_3340-20AP0433-UNILATERAL_UNDERTAKING_ANNOTATED_SCHEDULE_10_CLAUSE_4-3957284.pdf,SMUHRYKB00Q00
29 Nov 2024,Fire Statement,FIRE SAFETY STATEMENT,/online-applications/files/985CAB8C8FECE74B398AC286FF073284/pdf/24_AP_3519-FIRE_SAFETY_STATEMENT-3963728.pdf,SNPDOZKBFI100
